freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.777e+01,2.623e+02,1.173e+03,1.493e+03
1.5,6.059e+01,1.687e+02,6.932e+02,9.225e+02
3.0,5.285e+01,2.746e+01,5.607e+01,1.364e+02
4.6,7.092e+01,2.496e+01,3.715e+02,4.674e+02
6.1,6.689e+01,2.724e+01,1.262e+03,1.356e+03
7.6,6.270e+01,2.812e+01,1.621e+03,1.712e+03
9.1,7.657e+01,2.784e+01,2.231e+03,2.335e+03
10.6,9.612e+01,3.066e+01,3.281e+03,3.408e+03
12.1,1.149e+02,3.073e+01,4.751e+03,4.897e+03
13.7,1.270e+02,4.169e+01,6.202e+03,6.371e+03
15.2,1.398e+02,4.889e+01,7.618e+03,7.806e+03
16.7,1.483e+02,6.552e+01,9.857e+03,1.007e+04
18.2,1.677e+02,9.036e+01,1.270e+04,1.295e+04
19.7,1.915e+02,1.212e+02,1.593e+04,1.624e+04
21.3,2.111e+02,1.805e+02,1.894e+04,1.933e+04
22.8,2.308e+02,3.057e+02,2.212e+04,2.266e+04
24.3,2.537e+02,5.380e+02,2.620e+04,2.700e+04
25.8,2.856e+02,1.037e+03,3.090e+04,3.222e+04
27.3,2.865e+02,2.093e+03,3.709e+04,3.946e+04
28.9,2.724e+02,4.414e+03,4.540e+04,5.008e+04
30.4,6.195e+02,1.440e+04,5.238e+04,6.740e+04
31.9,4.060e+03,5.927e+04,5.711e+04,1.204e+05
33.4,1.178e+04,1.513e+05,9.602e+04,2.591e+05
34.9,2.843e+04,3.047e+05,2.272e+05,5.604e+05
36.4,3.835e+04,3.600e+05,3.827e+05,7.811e+05
38.0,3.162e+04,2.795e+05,4.567e+05,7.678e+05
39.5,2.501e+04,2.288e+05,5.717e+05,8.255e+05
41.0,2.216e+04,2.452e+05,8.514e+05,1.119e+06
42.5,2.140e+04,3.051e+05,1.354e+06,1.680e+06
44.0,2.219e+04,3.970e+05,2.102e+06,2.521e+06
45.6,2.501e+04,5.597e+05,3.313e+06,3.898e+06
47.1,2.252e+04,6.817e+05,4.399e+06,5.103e+06
48.6,1.420e+04,5.902e+05,4.168e+06,4.772e+06
50.1,1.259e+04,3.910e+05,2.960e+06,3.364e+06
51.6,2.256e+04,2.754e+05,2.078e+06,2.376e+06
53.1,3.542e+04,2.296e+05,1.630e+06,1.895e+06
54.7,3.639e+04,2.135e+05,1.410e+06,1.660e+06
56.2,2.951e+04,2.010e+05,1.243e+06,1.474e+06
57.7,2.103e+04,1.800e+05,1.032e+06,1.233e+06
59.2,1.896e+04,1.588e+05,8.547e+05,1.032e+06
60.7,2.088e+04,1.303e+05,7.171e+05,8.683e+05
62.3,2.102e+04,1.085e+05,6.448e+05,7.743e+05
63.8,2.163e+04,9.853e+04,5.941e+05,7.143e+05
65.3,2.377e+04,8.526e+04,5.780e+05,6.871e+05
66.8,2.519e+04,7.643e+04,5.996e+05,7.012e+05
68.3,2.542e+04,7.316e+04,5.894e+05,6.879e+05
69.8,2.568e+04,7.694e+04,5.622e+05,6.649e+05
71.4,2.850e+04,7.412e+04,5.077e+05,6.103e+05
72.9,3.104e+04,6.946e+04,4.457e+05,5.462e+05
74.4,2.904e+04,6.690e+04,3.841e+05,4.801e+05
75.9,2.595e+04,6.285e+04,3.213e+05,4.101e+05
77.4,2.644e+04,5.967e+04,2.656e+05,3.517e+05
79.0,2.741e+04,5.847e+04,2.174e+05,3.033e+05
80.5,2.043e+04,5.910e+04,1.741e+05,2.537e+05
82.0,1.075e+04,5.901e+04,1.314e+05,2.012e+05
83.5,6.355e+03,6.370e+04,9.844e+04,1.685e+05
85.0,6.367e+03,7.773e+04,7.627e+04,1.604e+05
86.6,9.744e+03,8.927e+04,6.454e+04,1.636e+05
88.1,1.640e+04,8.298e+04,6.541e+04,1.648e+05
89.6,2.327e+04,7.205e+04,6.924e+04,1.646e+05
91.1,2.877e+04,5.750e+04,8.589e+04,1.722e+05
92.6,3.286e+04,4.035e+04,1.001e+05,1.733e+05
94.1,2.966e+04,2.922e+04,1.071e+05,1.660e+05
95.7,1.935e+04,2.297e+04,1.182e+05,1.605e+05
97.2,1.132e+04,1.997e+04,1.356e+05,1.669e+05
98.7,9.861e+03,1.704e+04,1.501e+05,1.770e+05
100.2,1.512e+04,1.362e+04,1.523e+05,1.810e+05
101.7,2.312e+04,1.078e+04,1.444e+05,1.783e+05
103.3,2.773e+04,8.727e+03,1.298e+05,1.663e+05
104.8,2.764e+04,7.512e+03,1.099e+05,1.450e+05
106.3,2.632e+04,8.669e+03,1.004e+05,1.353e+05
107.8,2.255e+04,1.135e+04,1.083e+05,1.422e+05
109.3,1.563e+04,1.234e+04,1.192e+05,1.472e+05
110.8,1.312e+04,1.162e+04,1.231e+05,1.478e+05
112.4,1.400e+04,1.007e+04,1.241e+05,1.481e+05
113.9,1.631e+04,8.620e+03,1.239e+05,1.489e+05
115.4,2.244e+04,7.198e+03,1.262e+05,1.558e+05
116.9,3.280e+04,5.776e+03,1.300e+05,1.686e+05
118.4,5.571e+04,4.452e+03,1.362e+05,1.964e+05
120.0,7.414e+04,3.166e+03,1.435e+05,2.208e+05
121.5,7.922e+04,2.786e+03,1.474e+05,2.294e+05
123.0,1.365e+05,2.346e+03,1.534e+05,2.923e+05
124.5,2.419e+05,1.853e+03,1.578e+05,4.015e+05
126.0,3.289e+05,1.484e+03,1.533e+05,4.837e+05
127.6,4.261e+05,1.149e+03,1.436e+05,5.709e+05
129.1,5.287e+05,7.165e+02,1.260e+05,6.555e+05
130.6,5.717e+05,5.536e+02,1.428e+05,7.151e+05
132.1,5.466e+05,4.695e+02,1.298e+05,6.769e+05
133.6,1.862e+05,3.739e+02,4.226e+04,2.288e+05
135.1,2.968e+04,4.669e+02,1.047e+04,4.061e+04
136.7,2.385e+04,6.764e+02,1.156e+04,3.609e+04
138.2,2.112e+04,8.717e+02,1.257e+04,3.456e+04
139.7,1.801e+04,1.071e+03,1.409e+04,3.316e+04
141.2,2.010e+04,1.254e+03,1.605e+04,3.740e+04
142.7,2.715e+04,1.276e+03,1.532e+04,4.375e+04
144.3,3.993e+04,1.156e+03,1.157e+04,5.266e+04
145.8,5.201e+04,1.015e+03,8.220e+03,6.124e+04
147.3,6.500e+04,9.651e+02,6.513e+03,7.248e+04
