freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.039e+01,3.521e+02,1.468e+02,5.293e+02
1.5,4.760e+01,2.114e+02,1.010e+02,3.600e+02
3.1,3.853e+01,2.973e+01,2.689e+01,9.515e+01
4.6,3.846e+01,3.856e+02,2.558e+01,4.496e+02
6.2,4.901e+01,1.379e+03,2.572e+01,1.453e+03
7.7,4.412e+01,1.600e+03,2.852e+01,1.673e+03
9.2,3.791e+01,2.114e+03,2.918e+01,2.182e+03
10.8,3.821e+01,3.277e+03,2.986e+01,3.345e+03
12.3,3.898e+01,4.971e+03,2.830e+01,5.038e+03
13.8,4.113e+01,7.313e+03,2.942e+01,7.384e+03
15.4,4.602e+01,9.370e+03,3.070e+01,9.447e+03
16.9,4.691e+01,1.104e+04,3.567e+01,1.113e+04
18.5,5.280e+01,1.205e+04,4.578e+01,1.214e+04
20.0,8.740e+01,9.713e+03,6.261e+01,9.863e+03
21.5,1.505e+02,6.729e+03,7.991e+01,6.959e+03
23.1,1.903e+02,7.165e+03,9.301e+01,7.448e+03
24.6,2.473e+02,8.647e+03,1.182e+02,9.012e+03
26.1,3.313e+02,1.057e+04,1.484e+02,1.105e+04
27.7,4.256e+02,1.307e+04,1.958e+02,1.369e+04
29.2,5.562e+02,1.633e+04,2.673e+02,1.715e+04
30.8,7.287e+02,2.055e+04,3.693e+02,2.165e+04
32.3,1.056e+03,2.575e+04,4.793e+02,2.728e+04
33.8,1.597e+03,3.264e+04,6.472e+02,3.489e+04
35.4,2.152e+03,4.328e+04,9.987e+02,4.643e+04
36.9,2.893e+03,6.128e+04,1.659e+03,6.583e+04
38.4,4.221e+03,8.615e+04,2.633e+03,9.300e+04
40.0,5.828e+03,1.140e+05,3.906e+03,1.238e+05
41.5,8.485e+03,1.588e+05,6.526e+03,1.738e+05
43.1,1.344e+04,2.425e+05,1.239e+04,2.683e+05
44.6,2.566e+04,5.173e+05,4.416e+04,5.871e+05
46.1,5.700e+04,1.106e+06,1.360e+05,1.299e+06
47.7,1.507e+05,2.044e+06,3.089e+05,2.503e+06
49.2,1.817e+05,1.976e+06,3.589e+05,2.516e+06
50.8,1.159e+05,1.179e+06,2.717e+05,1.567e+06
52.3,7.111e+04,6.885e+05,2.143e+05,9.739e+05
53.8,5.268e+04,4.514e+05,1.879e+05,6.919e+05
55.4,3.423e+04,2.818e+05,1.557e+05,4.718e+05
56.9,1.878e+04,1.818e+05,1.394e+05,3.400e+05
58.4,1.130e+04,1.333e+05,1.715e+05,3.161e+05
60.0,1.078e+04,1.238e+05,2.569e+05,3.915e+05
61.5,1.279e+04,1.345e+05,3.407e+05,4.879e+05
63.1,1.640e+04,1.402e+05,3.870e+05,5.435e+05
64.6,2.101e+04,1.233e+05,5.451e+05,6.895e+05
66.1,2.022e+04,9.121e+04,7.342e+05,8.456e+05
67.7,1.504e+04,6.698e+04,6.042e+05,6.862e+05
69.2,1.065e+04,6.218e+04,4.022e+05,4.750e+05
70.7,8.569e+03,6.403e+04,3.061e+05,3.787e+05
72.3,7.002e+03,6.834e+04,2.315e+05,3.069e+05
73.8,5.482e+03,6.633e+04,1.830e+05,2.548e+05
75.4,4.528e+03,6.045e+04,1.571e+05,2.221e+05
76.9,4.036e+03,5.838e+04,1.313e+05,1.937e+05
78.4,3.806e+03,5.583e+04,1.090e+05,1.686e+05
80.0,3.469e+03,5.274e+04,9.412e+04,1.503e+05
81.5,2.800e+03,5.036e+04,7.900e+04,1.322e+05
83.0,1.974e+03,4.608e+04,6.416e+04,1.122e+05
84.6,1.235e+03,4.864e+04,5.927e+04,1.091e+05
86.1,1.766e+03,6.051e+04,5.914e+04,1.214e+05
87.7,2.697e+03,6.232e+04,4.814e+04,1.132e+05
89.2,3.630e+03,6.042e+04,3.748e+04,1.015e+05
90.7,2.853e+03,6.464e+04,3.285e+04,1.003e+05
92.3,1.126e+03,6.130e+04,2.831e+04,9.073e+04
93.8,5.523e+02,4.938e+04,2.229e+04,7.223e+04
95.3,1.504e+03,3.826e+04,1.673e+04,5.649e+04
96.9,3.733e+03,2.728e+04,1.182e+04,4.283e+04
98.4,5.910e+03,2.005e+04,8.630e+03,3.459e+04
100.0,7.798e+03,1.637e+04,6.735e+03,3.091e+04
101.5,8.269e+03,1.540e+04,5.792e+03,2.946e+04
103.0,6.903e+03,1.468e+04,5.208e+03,2.679e+04
104.6,7.564e+03,1.513e+04,5.074e+03,2.777e+04
106.1,9.629e+03,1.594e+04,4.900e+03,3.047e+04
107.7,8.531e+03,1.580e+04,5.117e+03,2.945e+04
109.2,8.388e+03,1.514e+04,5.243e+03,2.877e+04
110.7,9.715e+03,1.335e+04,4.832e+03,2.790e+04
112.3,1.428e+04,1.542e+04,6.344e+03,3.604e+04
113.8,2.121e+04,2.276e+04,1.232e+04,5.628e+04
115.3,2.787e+04,3.020e+04,1.721e+04,7.528e+04
116.9,2.854e+04,3.212e+04,1.728e+04,7.794e+04
118.4,2.425e+04,2.974e+04,1.438e+04,6.837e+04
120.0,1.962e+04,2.848e+04,1.146e+04,5.955e+04
121.5,1.736e+04,2.919e+04,9.480e+03,5.603e+04
123.0,1.670e+04,2.960e+04,8.178e+03,5.448e+04
