freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.993e+02,8.309e+00,2.306e+01,4.307e+02
1.5,2.986e+02,2.460e+01,5.713e+01,3.803e+02
3.1,1.225e+02,2.834e+01,6.821e+01,2.190e+02
4.6,4.064e+02,2.632e+01,6.835e+01,5.010e+02
6.1,1.197e+03,2.610e+01,5.331e+01,1.276e+03
7.7,1.854e+03,2.653e+01,4.450e+01,1.925e+03
9.2,2.663e+03,2.757e+01,5.528e+01,2.746e+03
10.7,3.510e+03,2.825e+01,4.788e+01,3.586e+03
12.3,4.619e+03,2.649e+01,5.219e+01,4.698e+03
13.8,6.029e+03,2.650e+01,5.167e+01,6.107e+03
15.4,7.642e+03,2.608e+01,5.737e+01,7.725e+03
16.9,9.459e+03,2.601e+01,5.769e+01,9.543e+03
18.4,1.163e+04,2.682e+01,5.721e+01,1.171e+04
20.0,1.424e+04,2.890e+01,5.468e+01,1.432e+04
21.5,1.739e+04,3.091e+01,5.710e+01,1.748e+04
23.0,2.118e+04,3.051e+01,6.373e+01,2.127e+04
24.6,2.547e+04,3.512e+01,7.503e+01,2.558e+04
26.1,3.033e+04,3.441e+01,8.224e+01,3.044e+04
27.6,3.689e+04,3.799e+01,9.542e+01,3.702e+04
29.2,4.464e+04,6.815e+01,1.426e+02,4.485e+04
30.7,5.379e+04,1.436e+02,2.881e+02,5.422e+04
32.2,6.564e+04,2.724e+02,4.979e+02,6.641e+04
33.8,8.207e+04,4.847e+02,8.366e+02,8.339e+04
35.3,1.025e+05,6.514e+02,1.276e+03,1.044e+05
36.8,1.369e+05,7.486e+02,1.702e+03,1.393e+05
38.4,2.001e+05,1.840e+03,3.145e+03,2.050e+05
39.9,2.937e+05,4.573e+03,6.039e+03,3.043e+05
41.4,4.489e+05,6.499e+03,9.457e+03,4.648e+05
43.0,5.983e+05,7.495e+03,1.291e+04,6.187e+05
44.5,6.010e+05,8.245e+03,1.483e+04,6.241e+05
46.1,5.440e+05,9.070e+03,1.553e+04,5.686e+05
47.6,4.861e+05,1.002e+04,1.499e+04,5.111e+05
49.1,3.712e+05,1.028e+04,1.291e+04,3.944e+05
50.7,2.450e+05,9.232e+03,1.004e+04,2.643e+05
52.2,1.561e+05,7.598e+03,7.166e+03,1.709e+05
53.7,9.893e+04,6.304e+03,4.632e+03,1.099e+05
55.3,6.168e+04,4.929e+03,2.633e+03,6.924e+04
56.8,3.446e+04,3.220e+03,1.807e+03,3.949e+04
58.3,2.070e+04,2.576e+03,2.378e+03,2.566e+04
59.9,1.570e+04,2.419e+03,2.451e+03,2.057e+04
61.4,1.504e+04,1.767e+03,9.309e+02,1.774e+04
62.9,1.717e+04,1.629e+03,1.159e+03,1.996e+04
64.5,2.038e+04,1.465e+03,4.152e+03,2.600e+04
66.0,2.437e+04,1.133e+03,5.176e+03,3.068e+04
67.5,2.817e+04,1.059e+03,2.220e+03,3.145e+04
69.1,3.074e+04,9.237e+02,1.300e+03,3.296e+04
70.6,3.526e+04,6.675e+02,1.325e+03,3.726e+04
72.2,4.271e+04,4.538e+02,1.471e+03,4.464e+04
73.7,5.188e+04,2.699e+02,1.469e+03,5.362e+04
75.2,6.315e+04,1.744e+02,1.783e+03,6.511e+04
76.8,7.542e+04,1.923e+02,2.352e+03,7.797e+04
78.3,8.433e+04,2.855e+02,2.766e+03,8.738e+04
79.8,8.982e+04,4.712e+02,2.724e+03,9.301e+04
81.4,1.131e+05,6.907e+02,2.510e+03,1.163e+05
82.9,1.358e+05,8.661e+02,2.694e+03,1.394e+05
84.4,1.450e+05,9.965e+02,3.262e+03,1.493e+05
86.0,1.444e+05,1.028e+03,4.031e+03,1.495e+05
87.5,1.475e+05,7.532e+02,4.670e+03,1.529e+05
89.0,1.541e+05,4.543e+02,5.810e+03,1.604e+05
90.6,1.683e+05,3.044e+02,7.676e+03,1.763e+05
92.1,1.931e+05,6.479e+02,1.116e+04,2.049e+05
93.6,2.275e+05,1.706e+03,1.645e+04,2.457e+05
95.2,2.843e+05,2.949e+03,2.283e+04,3.101e+05
96.7,3.824e+05,3.980e+03,2.723e+04,4.136e+05
98.2,4.920e+05,5.469e+03,2.889e+04,5.264e+05
99.8,5.864e+05,7.725e+03,2.989e+04,6.240e+05
101.3,6.621e+05,1.063e+04,3.187e+04,7.046e+05
102.9,7.023e+05,1.238e+04,3.692e+04,7.516e+05
104.4,7.110e+05,1.199e+04,3.792e+04,7.609e+05
105.9,6.978e+05,9.736e+03,2.878e+04,7.363e+05
107.5,6.992e+05,8.144e+03,2.146e+04,7.288e+05
109.0,8.204e+05,7.404e+03,1.536e+04,8.432e+05
110.5,1.168e+06,6.598e+03,1.241e+04,1.187e+06
112.1,1.694e+06,5.979e+03,1.331e+04,1.713e+06
113.6,1.736e+06,3.969e+03,1.988e+04,1.760e+06
115.1,1.390e+06,1.917e+03,2.714e+04,1.420e+06
116.7,1.017e+06,9.572e+02,3.568e+04,1.054e+06
