freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.855e+02,9.530e+01,1.053e+03,1.733e+03
1.4,3.479e+02,9.277e+01,2.721e+03,3.161e+03
2.8,3.217e+01,3.622e+01,1.900e+03,1.969e+03
4.2,6.135e+02,5.362e+01,1.188e+03,1.856e+03
5.6,3.949e+03,1.937e+02,7.646e+02,4.907e+03
7.0,5.886e+03,2.808e+02,5.602e+02,6.727e+03
8.4,6.575e+03,1.162e+02,4.306e+02,7.122e+03
9.8,9.562e+03,1.180e+02,3.070e+02,9.987e+03
11.2,1.375e+04,1.541e+02,2.553e+02,1.416e+04
12.6,1.981e+04,1.978e+02,2.047e+02,2.021e+04
14.0,2.498e+04,2.807e+02,1.712e+02,2.543e+04
15.4,2.248e+04,4.159e+02,1.358e+02,2.304e+04
16.8,2.030e+04,5.215e+02,1.159e+02,2.094e+04
18.2,1.704e+04,6.270e+02,1.302e+02,1.779e+04
19.6,1.249e+04,7.069e+02,1.439e+02,1.334e+04
21.0,1.175e+04,8.061e+02,1.832e+02,1.274e+04
22.4,1.352e+04,9.114e+02,2.388e+02,1.467e+04
23.8,1.556e+04,1.016e+03,2.871e+02,1.686e+04
25.2,1.796e+04,1.109e+03,3.625e+02,1.943e+04
26.6,2.071e+04,1.261e+03,4.556e+02,2.243e+04
28.0,2.431e+04,1.520e+03,6.492e+02,2.648e+04
29.4,2.998e+04,1.910e+03,9.509e+02,3.284e+04
30.8,3.679e+04,2.458e+03,1.399e+03,4.065e+04
32.2,4.186e+04,3.196e+03,2.078e+03,4.714e+04
33.6,4.691e+04,4.184e+03,3.402e+03,5.449e+04
35.0,5.268e+04,5.268e+03,5.752e+03,6.370e+04
36.4,6.040e+04,6.324e+03,8.784e+03,7.550e+04
37.8,7.003e+04,8.071e+03,1.320e+04,9.130e+04
39.2,7.986e+04,1.167e+04,2.609e+04,1.176e+05
40.6,8.967e+04,1.833e+04,5.950e+04,1.675e+05
42.0,1.066e+05,2.847e+04,1.160e+05,2.511e+05
43.4,1.291e+05,4.574e+04,1.894e+05,3.642e+05
44.8,1.346e+05,8.127e+04,3.092e+05,5.251e+05
46.2,1.154e+05,1.648e+05,5.652e+05,8.455e+05
47.6,7.568e+04,2.940e+05,9.461e+05,1.316e+06
49.0,5.762e+04,3.349e+05,1.213e+06,1.606e+06
50.4,1.013e+05,2.398e+05,1.299e+06,1.640e+06
51.8,1.942e+05,1.210e+05,1.301e+06,1.616e+06
53.2,3.051e+05,4.528e+04,1.246e+06,1.597e+06
54.6,3.900e+05,1.356e+04,1.129e+06,1.532e+06
56.0,4.971e+05,9.908e+03,1.102e+06,1.609e+06
57.4,7.033e+05,1.757e+04,1.307e+06,2.028e+06
58.8,1.021e+06,2.983e+04,1.699e+06,2.750e+06
60.2,1.380e+06,4.709e+04,2.028e+06,3.455e+06
61.6,1.729e+06,7.372e+04,2.238e+06,4.042e+06
63.0,2.126e+06,9.620e+04,2.493e+06,4.715e+06
64.4,2.354e+06,1.080e+05,2.526e+06,4.988e+06
65.8,2.346e+06,9.929e+04,2.327e+06,4.772e+06
67.2,2.002e+06,7.701e+04,1.826e+06,3.905e+06
