freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.058e+03,5.611e+01,5.496e+01,1.169e+03
1.5,6.106e+02,5.815e+01,8.645e+01,7.552e+02
3.1,3.842e+01,4.158e+01,1.184e+02,1.984e+02
4.6,3.393e+02,2.965e+01,1.198e+02,4.888e+02
6.1,1.065e+03,3.929e+01,1.490e+02,1.254e+03
7.7,1.686e+03,4.315e+01,1.529e+02,1.882e+03
9.2,2.526e+03,4.118e+01,1.473e+02,2.714e+03
10.7,3.426e+03,3.795e+01,1.459e+02,3.610e+03
12.3,4.626e+03,4.494e+01,1.425e+02,4.814e+03
13.8,6.184e+03,4.749e+01,1.552e+02,6.387e+03
15.3,7.888e+03,5.037e+01,1.682e+02,8.106e+03
16.9,9.849e+03,4.558e+01,1.657e+02,1.006e+04
18.4,1.211e+04,4.304e+01,1.522e+02,1.230e+04
20.0,1.477e+04,4.957e+01,1.433e+02,1.497e+04
21.5,1.823e+04,5.615e+01,1.607e+02,1.845e+04
23.0,2.259e+04,6.771e+01,1.783e+02,2.284e+04
24.6,2.740e+04,6.429e+01,1.851e+02,2.765e+04
26.1,3.316e+04,6.932e+01,2.129e+02,3.344e+04
27.6,4.099e+04,8.441e+01,2.548e+02,4.133e+04
29.2,5.067e+04,1.267e+02,3.184e+02,5.111e+04
30.7,6.137e+04,2.165e+02,3.523e+02,6.194e+04
32.2,7.576e+04,3.374e+02,3.686e+02,7.647e+04
33.8,9.626e+04,5.025e+02,4.069e+02,9.717e+04
35.3,1.213e+05,7.260e+02,4.054e+02,1.224e+05
36.8,1.559e+05,1.017e+03,4.301e+02,1.574e+05
38.4,2.017e+05,1.298e+03,6.511e+02,2.036e+05
39.9,2.577e+05,1.408e+03,1.136e+03,2.602e+05
41.4,3.545e+05,1.576e+03,2.030e+03,3.581e+05
43.0,4.868e+05,1.802e+03,3.306e+03,4.919e+05
44.5,6.578e+05,2.314e+03,5.446e+03,6.656e+05
46.0,1.019e+06,1.193e+04,7.174e+03,1.038e+06
47.6,1.642e+06,5.143e+04,8.084e+03,1.702e+06
49.1,2.228e+06,8.436e+04,2.192e+04,2.334e+06
50.7,3.349e+06,7.620e+04,5.348e+04,3.479e+06
52.2,5.159e+06,5.573e+04,9.336e+04,5.308e+06
53.7,5.125e+06,3.764e+04,9.377e+04,5.257e+06
55.3,3.645e+06,2.579e+04,6.220e+04,3.733e+06
56.8,2.272e+06,1.712e+04,3.817e+04,2.328e+06
58.3,1.438e+06,1.097e+04,2.839e+04,1.477e+06
59.9,1.005e+06,7.546e+03,2.301e+04,1.035e+06
61.4,7.543e+05,5.871e+03,1.868e+04,7.788e+05
62.9,5.915e+05,6.422e+03,1.505e+04,6.130e+05
64.5,4.857e+05,9.450e+03,1.261e+04,5.078e+05
66.0,4.013e+05,1.020e+04,1.054e+04,4.221e+05
67.5,3.210e+05,9.113e+03,8.933e+03,3.391e+05
69.1,2.702e+05,8.269e+03,8.208e+03,2.867e+05
70.6,2.400e+05,7.757e+03,7.882e+03,2.556e+05
72.1,2.163e+05,7.476e+03,7.505e+03,2.313e+05
73.7,1.987e+05,7.578e+03,7.218e+03,2.135e+05
75.2,1.836e+05,8.216e+03,7.394e+03,1.992e+05
76.7,1.701e+05,8.969e+03,7.692e+03,1.867e+05
78.3,1.576e+05,8.628e+03,7.542e+03,1.738e+05
79.8,1.451e+05,8.722e+03,8.000e+03,1.618e+05
81.4,1.300e+05,9.604e+03,8.684e+03,1.482e+05
82.9,1.245e+05,1.113e+04,9.549e+03,1.451e+05
84.4,1.341e+05,1.341e+04,1.246e+04,1.599e+05
86.0,1.355e+05,1.778e+04,1.935e+04,1.726e+05
87.5,1.352e+05,2.433e+04,2.899e+04,1.885e+05
89.0,1.354e+05,2.916e+04,3.558e+04,2.002e+05
90.6,1.340e+05,3.186e+04,3.905e+04,2.049e+05
92.1,1.315e+05,3.455e+04,4.136e+04,2.074e+05
93.6,1.393e+05,3.752e+04,4.258e+04,2.194e+05
95.2,1.589e+05,4.191e+04,4.359e+04,2.444e+05
96.7,1.587e+05,4.727e+04,4.567e+04,2.516e+05
98.2,1.803e+05,4.916e+04,4.532e+04,2.748e+05
99.8,1.954e+05,4.647e+04,4.173e+04,2.836e+05
101.3,1.998e+05,4.458e+04,3.815e+04,2.825e+05
102.8,2.101e+05,4.913e+04,4.044e+04,2.997e+05
104.4,2.100e+05,5.087e+04,4.168e+04,3.025e+05
105.9,2.115e+05,5.567e+04,4.491e+04,3.121e+05
107.4,2.386e+05,6.785e+04,5.393e+04,3.604e+05
109.0,2.699e+05,8.379e+04,6.455e+04,4.182e+05
110.5,3.050e+05,1.008e+05,7.340e+04,4.792e+05
112.1,3.415e+05,1.247e+05,8.474e+04,5.509e+05
113.6,3.617e+05,1.485e+05,9.518e+04,6.054e+05
115.1,3.525e+05,1.703e+05,1.006e+05,6.233e+05
116.7,3.680e+05,2.040e+05,1.104e+05,6.824e+05
118.2,4.314e+05,2.525e+05,1.288e+05,8.126e+05
119.7,5.293e+05,3.065e+05,1.521e+05,9.879e+05
121.3,6.326e+05,3.508e+05,1.803e+05,1.164e+06
122.8,7.280e+05,3.812e+05,2.138e+05,1.323e+06
124.3,8.137e+05,4.073e+05,2.510e+05,1.472e+06
125.9,9.108e+05,4.481e+05,2.972e+05,1.656e+06
127.4,1.033e+06,5.063e+05,3.547e+05,1.894e+06
128.9,1.204e+06,5.814e+05,4.270e+05,2.213e+06
130.5,1.408e+06,6.631e+05,5.145e+05,2.585e+06
132.0,1.461e+06,6.723e+05,5.510e+05,2.684e+06
133.5,6.038e+05,2.716e+05,2.296e+05,1.105e+06
135.1,8.951e+04,3.515e+04,3.231e+04,1.570e+05
136.6,8.360e+04,3.141e+04,3.043e+04,1.454e+05
138.1,9.691e+04,3.633e+04,3.580e+04,1.690e+05
139.7,1.114e+05,4.151e+04,4.186e+04,1.948e+05
141.2,1.245e+05,4.585e+04,4.786e+04,2.182e+05
142.8,1.301e+05,4.694e+04,5.204e+04,2.290e+05
144.3,1.396e+05,4.932e+04,5.846e+04,2.474e+05
145.8,1.526e+05,5.226e+04,6.663e+04,2.715e+05
147.4,1.626e+05,5.495e+04,7.365e+04,2.912e+05
148.9,1.780e+05,5.914e+04,8.400e+04,3.211e+05
150.4,1.994e+05,6.426e+04,9.737e+04,3.610e+05
152.0,2.199e+05,6.942e+04,1.123e+05,4.016e+05
153.5,2.408e+05,7.251e+04,1.252e+05,4.384e+05
155.0,2.610e+05,7.356e+04,1.361e+05,4.706e+05
156.6,2.402e+05,6.209e+04,1.242e+05,4.264e+05
158.1,2.144e+05,5.198e+04,1.084e+05,3.748e+05
159.6,1.843e+05,4.356e+04,9.076e+04,3.187e+05
161.2,1.550e+05,3.621e+04,7.360e+04,2.648e+05
162.7,1.276e+05,2.954e+04,5.902e+04,2.161e+05
164.2,1.028e+05,2.385e+04,4.684e+04,1.735e+05
165.8,8.646e+04,2.111e+04,3.890e+04,1.465e+05
167.3,6.982e+04,1.798e+04,3.083e+04,1.186e+05
168.8,5.688e+04,1.533e+04,2.429e+04,9.649e+04
170.4,4.746e+04,1.366e+04,1.997e+04,8.110e+04
171.9,4.015e+04,1.273e+04,1.680e+04,6.968e+04
