freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.045e+03,6.527e+01,2.059e+01,3.131e+03
1.6,1.745e+03,9.202e+01,5.782e+01,1.894e+03
3.1,1.269e+02,7.690e+01,6.244e+01,2.663e+02
4.7,1.504e+03,1.220e+02,6.150e+01,1.687e+03
6.3,4.526e+03,1.794e+02,6.068e+01,4.766e+03
7.8,6.802e+03,2.380e+02,6.103e+01,7.101e+03
9.4,1.005e+04,3.045e+02,6.034e+01,1.041e+04
11.0,1.405e+04,3.793e+02,6.868e+01,1.450e+04
12.6,1.873e+04,4.668e+02,6.503e+01,1.926e+04
14.1,2.384e+04,5.537e+02,7.142e+01,2.446e+04
15.7,3.031e+04,6.779e+02,7.662e+01,3.106e+04
17.3,3.868e+04,8.790e+02,8.624e+01,3.964e+04
18.8,4.895e+04,1.083e+03,9.586e+01,5.013e+04
20.4,5.943e+04,1.290e+03,8.589e+01,6.081e+04
22.0,7.027e+04,1.549e+03,7.121e+01,7.189e+04
23.5,8.322e+04,1.832e+03,6.537e+01,8.512e+04
25.1,9.778e+04,2.101e+03,7.315e+01,9.995e+04
26.7,1.147e+05,2.413e+03,8.737e+01,1.172e+05
28.2,1.362e+05,2.861e+03,9.431e+01,1.391e+05
29.8,1.626e+05,3.438e+03,1.061e+02,1.661e+05
31.4,1.944e+05,4.109e+03,1.383e+02,1.987e+05
32.9,2.288e+05,4.811e+03,1.676e+02,2.338e+05
34.5,2.684e+05,5.541e+03,1.603e+02,2.741e+05
36.1,3.221e+05,6.529e+03,1.262e+02,3.287e+05
37.7,3.923e+05,7.637e+03,1.083e+02,4.001e+05
39.2,4.776e+05,8.859e+03,1.285e+02,4.866e+05
40.8,5.858e+05,1.044e+04,1.828e+02,5.964e+05
42.4,7.310e+05,1.268e+04,2.490e+02,7.439e+05
43.9,9.292e+05,1.587e+04,3.421e+02,9.455e+05
45.5,1.183e+06,2.095e+04,3.657e+02,1.204e+06
47.1,1.561e+06,2.912e+04,3.165e+02,1.590e+06
48.6,2.186e+06,3.962e+04,2.980e+02,2.226e+06
50.2,3.370e+06,5.734e+04,2.133e+03,3.429e+06
51.8,6.228e+06,1.127e+05,1.071e+04,6.352e+06
53.3,1.396e+07,2.481e+05,3.064e+04,1.424e+07
54.9,1.862e+07,2.891e+05,7.970e+04,1.899e+07
56.5,1.566e+07,1.903e+05,1.245e+05,1.597e+07
58.0,1.159e+07,1.259e+05,7.858e+04,1.180e+07
59.6,8.592e+06,1.035e+05,2.610e+04,8.722e+06
61.2,6.608e+06,7.419e+04,1.898e+04,6.701e+06
62.8,4.982e+06,5.118e+04,1.577e+04,5.049e+06
64.3,3.561e+06,3.678e+04,1.073e+04,3.609e+06
65.9,2.655e+06,2.842e+04,6.428e+03,2.690e+06
67.5,2.116e+06,2.611e+04,2.902e+03,2.145e+06
69.0,1.695e+06,2.215e+04,1.559e+03,1.719e+06
70.6,1.338e+06,1.940e+04,1.115e+03,1.359e+06
72.2,1.051e+06,1.731e+04,1.144e+03,1.070e+06
73.7,8.696e+05,1.258e+04,1.837e+03,8.840e+05
