freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.118e+03,4.523e+02,8.256e+02,3.396e+03
1.5,1.290e+03,3.697e+02,2.070e+03,3.731e+03
3.0,1.337e+02,1.903e+02,1.655e+03,1.979e+03
4.4,1.065e+03,1.797e+02,1.687e+03,2.932e+03
5.9,4.371e+03,1.832e+02,1.863e+03,6.418e+03
7.4,6.619e+03,2.017e+02,1.816e+03,8.637e+03
8.9,9.585e+03,2.169e+02,1.947e+03,1.175e+04
10.4,1.351e+04,2.057e+02,1.790e+03,1.551e+04
11.9,1.816e+04,1.932e+02,1.580e+03,1.993e+04
13.3,2.403e+04,1.748e+02,1.731e+03,2.593e+04
14.8,3.126e+04,1.947e+02,1.991e+03,3.345e+04
16.3,3.980e+04,2.186e+02,1.925e+03,4.194e+04
17.8,4.967e+04,2.085e+02,1.758e+03,5.163e+04
19.3,6.002e+04,1.934e+02,1.754e+03,6.196e+04
20.7,7.137e+04,2.226e+02,1.755e+03,7.335e+04
22.2,8.541e+04,2.433e+02,1.727e+03,8.738e+04
23.7,1.017e+05,2.673e+02,1.934e+03,1.039e+05
25.2,1.209e+05,2.791e+02,2.007e+03,1.232e+05
26.7,1.471e+05,3.179e+02,1.991e+03,1.494e+05
28.2,1.749e+05,3.900e+02,1.963e+03,1.772e+05
29.6,2.066e+05,5.127e+02,2.068e+03,2.092e+05
31.1,2.470e+05,7.024e+02,2.326e+03,2.500e+05
32.6,2.969e+05,9.768e+02,2.740e+03,3.006e+05
34.1,3.629e+05,1.389e+03,3.073e+03,3.674e+05
35.6,4.444e+05,2.106e+03,3.169e+03,4.497e+05
37.0,5.414e+05,3.269e+03,3.795e+03,5.484e+05
38.5,6.777e+05,4.433e+03,5.254e+03,6.873e+05
40.0,8.916e+05,5.851e+03,9.765e+03,9.072e+05
41.5,1.236e+06,7.731e+03,2.337e+04,1.267e+06
43.0,1.632e+06,1.039e+04,4.801e+04,1.691e+06
44.5,2.004e+06,1.508e+04,6.307e+04,2.082e+06
45.9,2.394e+06,2.400e+04,6.617e+04,2.485e+06
47.4,3.210e+06,4.398e+04,6.967e+04,3.323e+06
48.9,4.018e+06,5.098e+04,1.159e+05,4.184e+06
50.4,5.108e+06,4.813e+04,2.301e+05,5.386e+06
51.9,6.159e+06,4.633e+04,3.629e+05,6.568e+06
53.3,4.411e+06,3.301e+04,3.725e+05,4.817e+06
54.8,1.907e+06,3.294e+04,2.831e+05,2.223e+06
56.3,1.015e+06,4.309e+04,2.800e+05,1.339e+06
57.8,1.017e+06,6.115e+04,3.353e+05,1.413e+06
59.3,1.108e+06,8.009e+04,3.482e+05,1.537e+06
60.8,1.167e+06,8.246e+04,3.563e+05,1.606e+06
62.2,1.201e+06,9.446e+04,4.192e+05,1.714e+06
63.7,1.309e+06,1.263e+05,4.982e+05,1.933e+06
65.2,1.544e+06,1.818e+05,5.558e+05,2.282e+06
66.7,1.898e+06,2.753e+05,5.730e+05,2.746e+06
68.2,2.373e+06,4.196e+05,5.054e+05,3.298e+06
69.6,2.495e+06,4.849e+05,3.879e+05,3.367e+06
71.1,2.151e+06,4.025e+05,3.236e+05,2.877e+06
72.6,1.753e+06,2.909e+05,3.015e+05,2.346e+06
