freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.005e+02,2.572e+03,1.514e+01,2.787e+03
1.5,2.633e+02,1.788e+03,4.831e+01,2.100e+03
3.1,1.938e+02,6.206e+02,5.323e+01,8.677e+02
4.6,2.916e+02,1.840e+03,5.360e+01,2.186e+03
6.2,4.403e+02,4.806e+03,5.582e+01,5.302e+03
7.7,6.269e+02,7.108e+03,5.627e+01,7.791e+03
9.3,9.270e+02,1.031e+04,6.316e+01,1.130e+04
10.8,1.219e+03,1.412e+04,7.358e+01,1.541e+04
12.3,1.450e+03,1.835e+04,7.269e+01,1.988e+04
13.9,1.702e+03,2.307e+04,6.769e+01,2.484e+04
15.4,2.086e+03,2.881e+04,6.994e+01,3.096e+04
17.0,2.675e+03,3.650e+04,7.996e+01,3.926e+04
18.5,3.364e+03,4.669e+04,8.432e+01,5.014e+04
20.0,3.979e+03,5.723e+04,9.253e+01,6.131e+04
21.6,4.618e+03,6.688e+04,1.062e+02,7.160e+04
23.1,5.350e+03,7.759e+04,1.345e+02,8.307e+04
24.7,6.156e+03,9.020e+04,1.530e+02,9.651e+04
26.2,7.224e+03,1.053e+05,1.822e+02,1.127e+05
27.8,8.568e+03,1.241e+05,2.205e+02,1.329e+05
29.3,1.007e+04,1.471e+05,2.490e+02,1.574e+05
30.8,1.193e+04,1.744e+05,2.736e+02,1.867e+05
32.4,1.407e+04,2.056e+05,2.054e+02,2.199e+05
33.9,1.642e+04,2.397e+05,1.061e+02,2.563e+05
35.5,1.909e+04,2.826e+05,7.667e+01,3.017e+05
37.0,2.268e+04,3.401e+05,1.111e+02,3.629e+05
38.5,2.690e+04,4.071e+05,1.952e+02,4.342e+05
40.1,3.203e+04,4.876e+05,3.335e+02,5.200e+05
41.6,3.897e+04,5.900e+05,4.562e+02,6.295e+05
43.2,4.824e+04,7.197e+05,4.254e+02,7.684e+05
44.7,6.015e+04,8.911e+05,3.608e+02,9.517e+05
46.3,7.690e+04,1.146e+06,3.936e+02,1.223e+06
47.8,1.051e+05,1.570e+06,4.208e+02,1.676e+06
49.3,1.533e+05,2.284e+06,7.519e+02,2.438e+06
50.9,2.399e+05,3.607e+06,4.418e+03,3.851e+06
52.4,4.848e+05,7.409e+06,2.322e+04,7.918e+06
54.0,9.418e+05,1.421e+07,4.146e+04,1.520e+07
55.5,1.052e+06,1.504e+07,3.477e+04,1.612e+07
57.0,8.997e+05,1.184e+07,2.460e+04,1.276e+07
58.6,6.889e+05,9.078e+06,4.608e+04,9.813e+06
60.1,4.883e+05,6.828e+06,6.064e+04,7.377e+06
61.7,3.596e+05,5.265e+06,4.401e+04,5.669e+06
63.2,2.778e+05,4.145e+06,2.934e+04,4.453e+06
64.8,2.133e+05,3.228e+06,2.303e+04,3.464e+06
66.3,1.675e+05,2.592e+06,2.184e+04,2.782e+06
67.8,1.349e+05,2.174e+06,1.978e+04,2.329e+06
69.4,1.090e+05,1.837e+06,1.718e+04,1.963e+06
70.9,8.159e+04,1.496e+06,1.661e+04,1.594e+06
72.5,6.156e+04,1.246e+06,1.620e+04,1.324e+06
74.0,5.105e+04,1.069e+06,1.316e+04,1.133e+06
75.5,4.332e+04,8.986e+05,9.364e+03,9.512e+05
77.1,3.488e+04,7.259e+05,6.675e+03,7.675e+05
78.6,2.592e+04,5.667e+05,5.042e+03,5.976e+05
