freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.526e+01,6.748e+02,2.151e+02,9.052e+02
1.5,2.968e+01,3.889e+02,1.324e+02,5.510e+02
3.1,3.008e+01,2.497e+01,1.688e+01,7.193e+01
4.6,3.526e+01,3.830e+02,1.717e+01,4.354e+02
6.1,4.024e+01,1.188e+03,1.789e+01,1.246e+03
7.7,3.210e+01,1.564e+03,1.803e+01,1.614e+03
9.2,2.929e+01,2.438e+03,1.959e+01,2.487e+03
10.7,2.692e+01,3.734e+03,2.098e+01,3.782e+03
12.3,2.619e+01,5.535e+03,2.212e+01,5.584e+03
13.8,2.995e+01,7.609e+03,2.357e+01,7.663e+03
15.3,3.127e+01,9.907e+03,2.889e+01,9.967e+03
16.9,2.853e+01,1.251e+04,3.961e+01,1.257e+04
18.4,3.478e+01,1.608e+04,4.941e+01,1.616e+04
19.9,6.105e+01,2.140e+04,6.145e+01,2.153e+04
21.4,9.707e+01,2.738e+04,9.336e+01,2.757e+04
23.0,1.395e+02,3.361e+04,1.256e+02,3.387e+04
24.5,2.000e+02,4.191e+04,1.749e+02,4.229e+04
26.0,2.969e+02,5.505e+04,3.095e+02,5.566e+04
27.6,4.332e+02,7.541e+04,6.056e+02,7.644e+04
29.1,6.449e+02,1.081e+05,1.163e+03,1.100e+05
30.6,1.211e+03,1.575e+05,2.147e+03,1.609e+05
32.2,2.310e+03,2.393e+05,4.574e+03,2.462e+05
33.7,4.046e+03,4.131e+05,1.447e+04,4.316e+05
35.2,5.725e+03,8.616e+05,6.308e+04,9.304e+05
36.8,7.536e+03,1.929e+06,2.109e+05,2.147e+06
38.3,1.137e+04,2.648e+06,3.719e+05,3.032e+06
39.8,1.224e+04,2.064e+06,3.768e+05,2.453e+06
41.4,1.085e+04,1.318e+06,3.098e+05,1.638e+06
42.9,1.122e+04,9.261e+05,2.785e+05,1.216e+06
44.4,1.373e+04,6.883e+05,2.692e+05,9.712e+05
46.0,1.701e+04,4.736e+05,2.518e+05,7.424e+05
47.5,2.079e+04,3.487e+05,2.639e+05,6.334e+05
49.0,1.775e+04,2.692e+05,3.051e+05,5.920e+05
50.6,1.358e+04,2.167e+05,3.980e+05,6.283e+05
52.1,9.101e+03,1.741e+05,5.261e+05,7.092e+05
53.6,3.612e+03,1.219e+05,5.412e+05,6.667e+05
55.2,3.071e+03,8.812e+04,4.452e+05,5.364e+05
56.7,3.196e+03,7.725e+04,3.511e+05,4.316e+05
58.2,2.764e+03,7.845e+04,2.680e+05,3.493e+05
59.8,3.245e+03,8.967e+04,1.972e+05,2.901e+05
61.3,4.370e+03,9.584e+04,1.507e+05,2.509e+05
62.8,4.480e+03,8.069e+04,1.450e+05,2.302e+05
64.3,3.760e+03,6.720e+04,1.456e+05,2.165e+05
65.9,3.267e+03,5.765e+04,1.411e+05,2.021e+05
67.4,3.352e+03,5.039e+04,1.393e+05,1.930e+05
68.9,3.855e+03,4.869e+04,1.413e+05,1.939e+05
70.5,4.365e+03,5.012e+04,1.446e+05,1.991e+05
72.0,4.671e+03,4.872e+04,1.410e+05,1.944e+05
73.5,4.893e+03,4.517e+04,1.303e+05,1.804e+05
75.1,5.894e+03,4.413e+04,1.161e+05,1.661e+05
76.6,7.622e+03,4.581e+04,1.037e+05,1.572e+05
78.1,1.031e+04,4.783e+04,9.067e+04,1.488e+05
79.7,1.212e+04,4.743e+04,7.577e+04,1.353e+05
81.2,9.607e+03,4.368e+04,6.200e+04,1.153e+05
82.7,7.048e+03,4.080e+04,5.067e+04,9.851e+04
84.3,6.268e+03,4.346e+04,4.523e+04,9.495e+04
85.8,5.370e+03,4.929e+04,4.265e+04,9.731e+04
87.3,4.545e+03,5.568e+04,3.973e+04,9.996e+04
88.9,3.451e+03,6.039e+04,3.514e+04,9.898e+04
90.4,2.555e+03,6.179e+04,2.828e+04,9.263e+04
91.9,2.883e+03,5.785e+04,2.112e+04,8.186e+04
