freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.882e+02,2.654e+03,2.336e+02,3.076e+03
1.5,6.277e+02,1.895e+03,1.237e+03,3.760e+03
3.1,6.666e+02,7.852e+02,1.382e+03,2.834e+03
4.6,7.032e+02,2.102e+03,1.388e+03,4.193e+03
6.1,7.394e+02,5.510e+03,1.436e+03,7.686e+03
7.7,8.044e+02,7.536e+03,1.406e+03,9.746e+03
9.2,7.698e+02,1.020e+04,1.323e+03,1.229e+04
10.7,7.601e+02,1.415e+04,1.240e+03,1.615e+04
12.2,7.848e+02,1.911e+04,1.198e+03,2.109e+04
13.8,7.534e+02,2.415e+04,1.202e+03,2.610e+04
15.3,7.180e+02,3.013e+04,1.253e+03,3.210e+04
16.8,6.815e+02,3.872e+04,1.241e+03,4.064e+04
18.4,7.082e+02,4.832e+04,1.266e+03,5.029e+04
19.9,7.697e+02,5.842e+04,1.371e+03,6.056e+04
21.4,7.905e+02,7.043e+04,1.301e+03,7.252e+04
23.0,8.957e+02,8.343e+04,1.348e+03,8.567e+04
24.5,9.018e+02,9.826e+04,1.403e+03,1.006e+05
26.0,8.912e+02,1.160e+05,1.224e+03,1.181e+05
27.5,9.205e+02,1.387e+05,1.287e+03,1.409e+05
29.1,9.398e+02,1.687e+05,1.260e+03,1.709e+05
30.6,9.433e+02,2.035e+05,1.418e+03,2.058e+05
32.1,1.070e+03,2.452e+05,1.500e+03,2.478e+05
33.7,1.178e+03,2.988e+05,1.480e+03,3.015e+05
35.2,1.215e+03,3.651e+05,1.594e+03,3.679e+05
36.7,1.378e+03,4.489e+05,1.668e+03,4.520e+05
38.3,1.635e+03,5.624e+05,1.719e+03,5.658e+05
39.8,2.134e+03,7.221e+05,1.499e+03,7.258e+05
41.3,2.803e+03,9.602e+05,2.219e+03,9.652e+05
42.9,2.754e+03,1.286e+06,9.294e+03,1.298e+06
44.4,1.631e+03,1.802e+06,2.823e+04,1.832e+06
45.9,6.025e+03,2.868e+06,5.995e+04,2.934e+06
47.4,3.369e+04,5.397e+06,9.978e+04,5.531e+06
49.0,6.391e+04,1.062e+07,7.972e+04,1.076e+07
50.5,6.053e+04,1.351e+07,4.408e+04,1.362e+07
52.0,5.734e+04,1.186e+07,2.415e+04,1.195e+07
53.6,5.751e+04,8.789e+06,1.442e+04,8.861e+06
55.1,5.103e+04,6.083e+06,1.178e+04,6.146e+06
56.6,3.590e+04,4.078e+06,7.976e+03,4.122e+06
58.2,2.352e+04,2.833e+06,3.742e+03,2.860e+06
59.7,2.606e+04,2.029e+06,3.996e+03,2.059e+06
61.2,2.796e+04,1.526e+06,4.559e+03,1.558e+06
62.7,2.355e+04,1.184e+06,3.739e+03,1.211e+06
64.3,1.920e+04,9.140e+05,2.437e+03,9.357e+05
65.8,1.870e+04,6.979e+05,2.720e+03,7.194e+05
67.3,1.964e+04,5.497e+05,3.439e+03,5.728e+05
68.9,1.687e+04,4.402e+05,2.952e+03,4.600e+05
70.4,1.281e+04,3.381e+05,1.771e+03,3.527e+05
71.9,1.068e+04,2.506e+05,1.422e+03,2.627e+05
73.5,1.242e+04,1.960e+05,1.913e+03,2.103e+05
75.0,1.510e+04,1.523e+05,2.904e+03,1.703e+05
76.5,1.500e+04,1.130e+05,3.313e+03,1.313e+05
78.1,1.175e+04,7.985e+04,3.009e+03,9.461e+04
79.6,8.240e+03,5.595e+04,2.536e+03,6.673e+04
81.1,6.773e+03,4.099e+04,2.654e+03,5.042e+04
82.6,6.638e+03,3.091e+04,3.864e+03,4.141e+04
84.2,6.056e+03,2.243e+04,6.703e+03,3.519e+04
85.7,5.448e+03,1.510e+04,8.750e+03,2.930e+04
87.2,6.303e+03,9.860e+03,8.475e+03,2.464e+04
88.8,9.749e+03,7.577e+03,1.163e+04,2.896e+04
90.3,1.847e+04,1.124e+04,1.452e+04,4.423e+04
91.8,3.219e+04,2.130e+04,1.506e+04,6.855e+04
93.4,4.641e+04,3.674e+04,1.544e+04,9.859e+04
94.9,6.584e+04,6.268e+04,1.723e+04,1.458e+05
96.4,7.869e+04,9.563e+04,1.816e+04,1.925e+05
97.9,7.600e+04,1.166e+05,1.542e+04,2.080e+05
99.5,7.204e+04,1.268e+05,1.143e+04,2.103e+05
101.0,7.529e+04,1.421e+05,7.587e+03,2.249e+05
102.5,7.744e+04,1.637e+05,5.506e+03,2.467e+05
104.1,7.847e+04,1.883e+05,4.847e+03,2.716e+05
105.6,7.953e+04,2.132e+05,5.009e+03,2.978e+05
107.1,7.690e+04,2.426e+05,6.642e+03,3.261e+05
108.7,7.319e+04,2.962e+05,9.775e+03,3.791e+05
110.2,7.933e+04,3.986e+05,1.348e+04,4.914e+05
111.7,9.776e+04,5.419e+05,1.547e+04,6.552e+05
113.3,1.252e+05,6.823e+05,1.810e+04,8.256e+05
114.8,1.645e+05,8.081e+05,2.203e+04,9.946e+05
116.3,1.914e+05,8.367e+05,2.358e+04,1.052e+06
117.8,2.037e+05,7.469e+05,2.513e+04,9.758e+05
119.4,1.971e+05,5.885e+05,2.553e+04,8.111e+05
120.9,1.767e+05,4.193e+05,2.237e+04,6.184e+05
122.4,1.620e+05,2.983e+05,1.988e+04,4.802e+05
124.0,1.632e+05,2.606e+05,2.132e+04,4.451e+05
125.5,1.624e+05,2.506e+05,2.270e+04,4.356e+05
127.0,1.347e+05,1.671e+05,1.643e+04,3.183e+05
128.6,1.005e+05,1.124e+05,1.152e+04,2.245e+05
130.1,1.220e+05,9.947e+04,1.237e+04,2.338e+05
131.6,1.250e+05,8.950e+04,1.348e+04,2.280e+05
133.1,8.343e+04,6.830e+04,9.910e+03,1.616e+05
134.7,2.358e+04,2.202e+04,3.715e+03,4.932e+04
136.2,1.356e+04,1.287e+04,2.834e+03,2.927e+04
137.7,1.314e+04,1.407e+04,2.677e+03,2.989e+04
139.3,1.212e+04,1.802e+04,2.609e+03,3.274e+04
140.8,1.177e+04,2.605e+04,2.836e+03,4.066e+04
142.3,1.142e+04,4.119e+04,2.828e+03,5.544e+04
143.9,1.387e+04,7.520e+04,3.442e+03,9.251e+04
145.4,1.942e+04,1.558e+05,4.911e+03,1.801e+05
146.9,2.360e+04,2.816e+05,4.975e+03,3.102e+05
148.5,2.472e+04,3.524e+05,3.980e+03,3.811e+05
150.0,2.460e+04,3.690e+05,3.283e+03,3.969e+05
151.5,2.072e+04,3.495e+05,2.687e+03,3.729e+05
153.0,1.447e+04,2.950e+05,2.346e+03,3.118e+05
154.6,9.687e+03,2.404e+05,2.545e+03,2.526e+05
156.1,7.762e+03,2.307e+05,3.179e+03,2.417e+05
157.6,8.349e+03,2.324e+05,3.474e+03,2.442e+05
159.2,9.563e+03,2.240e+05,4.253e+03,2.379e+05
160.7,1.184e+04,2.131e+05,4.707e+03,2.296e+05
162.2,1.331e+04,2.040e+05,4.625e+03,2.219e+05
163.8,1.585e+04,2.080e+05,4.810e+03,2.287e+05
165.3,1.958e+04,2.225e+05,4.725e+03,2.468e+05
166.8,2.301e+04,2.351e+05,4.495e+03,2.626e+05
168.3,2.287e+04,2.312e+05,4.250e+03,2.583e+05
169.9,2.138e+04,2.184e+05,3.879e+03,2.437e+05
171.4,2.129e+04,2.069e+05,3.529e+03,2.317e+05
172.9,2.026e+04,1.944e+05,3.163e+03,2.178e+05
174.5,1.971e+04,1.807e+05,2.916e+03,2.034e+05
176.0,2.001e+04,1.769e+05,2.879e+03,1.998e+05
