freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.636e+01,2.560e+02,1.573e+02,4.296e+02
1.5,4.949e+01,1.656e+02,1.429e+02,3.580e+02
3.0,4.551e+01,3.314e+01,7.069e+01,1.493e+02
4.5,4.487e+01,3.405e+02,7.190e+01,4.573e+02
6.0,5.069e+01,1.360e+03,7.113e+01,1.481e+03
7.5,5.029e+01,1.547e+03,7.014e+01,1.667e+03
9.0,4.375e+01,1.635e+03,7.634e+01,1.755e+03
10.5,4.670e+01,2.140e+03,8.028e+01,2.267e+03
12.0,5.130e+01,2.295e+03,8.163e+01,2.428e+03
13.5,6.538e+01,2.543e+03,9.394e+01,2.703e+03
15.0,6.739e+01,3.035e+03,1.021e+02,3.205e+03
16.5,6.796e+01,3.630e+03,1.233e+02,3.821e+03
18.0,8.345e+01,4.436e+03,1.418e+02,4.662e+03
19.5,1.034e+02,5.580e+03,1.585e+02,5.841e+03
21.1,1.106e+02,7.063e+03,1.982e+02,7.372e+03
22.6,1.293e+02,8.892e+03,2.569e+02,9.278e+03
24.1,1.380e+02,1.109e+04,3.332e+02,1.156e+04
25.6,1.638e+02,1.347e+04,4.287e+02,1.406e+04
27.1,2.144e+02,1.664e+04,5.520e+02,1.740e+04
28.6,2.600e+02,2.097e+04,7.875e+02,2.202e+04
30.1,3.163e+02,2.681e+04,1.108e+03,2.824e+04
31.6,4.547e+02,3.356e+04,1.520e+03,3.554e+04
33.1,6.209e+02,4.243e+04,2.168e+03,4.522e+04
34.6,8.446e+02,5.664e+04,3.250e+03,6.073e+04
36.1,1.122e+03,7.929e+04,5.426e+03,8.583e+04
37.6,1.521e+03,1.150e+05,9.156e+03,1.257e+05
39.1,3.192e+03,1.886e+05,1.795e+04,2.098e+05
40.6,1.128e+04,4.613e+05,6.535e+04,5.380e+05
42.1,2.412e+04,1.058e+06,2.327e+05,1.314e+06
43.6,2.405e+04,1.223e+06,3.501e+05,1.597e+06
45.1,1.928e+04,7.762e+05,2.780e+05,1.074e+06
46.6,2.203e+04,4.949e+05,2.128e+05,7.298e+05
48.1,2.527e+04,3.565e+05,1.794e+05,5.612e+05
49.6,2.517e+04,2.614e+05,1.566e+05,4.431e+05
51.1,2.199e+04,1.920e+05,1.481e+05,3.622e+05
52.6,1.324e+04,1.430e+05,1.693e+05,3.255e+05
54.1,5.801e+03,9.889e+04,2.319e+05,3.366e+05
55.6,5.413e+03,6.088e+04,3.630e+05,4.293e+05
57.1,8.677e+03,4.929e+04,4.839e+05,5.418e+05
58.6,9.827e+03,6.004e+04,5.229e+05,5.928e+05
60.1,6.999e+03,7.712e+04,4.579e+05,5.420e+05
