freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.067e+03,4.217e+01,3.881e+01,1.148e+03
1.5,6.335e+02,4.826e+01,6.763e+01,7.494e+02
3.0,4.166e+01,2.944e+01,7.670e+01,1.478e+02
4.5,2.900e+02,3.077e+01,5.420e+01,3.750e+02
6.0,1.056e+03,3.194e+01,5.618e+01,1.144e+03
7.5,1.665e+03,3.196e+01,5.442e+01,1.752e+03
8.9,2.423e+03,3.142e+01,6.020e+01,2.514e+03
10.4,3.173e+03,2.867e+01,5.501e+01,3.257e+03
11.9,4.253e+03,2.550e+01,4.595e+01,4.324e+03
13.4,5.562e+03,2.943e+01,5.003e+01,5.641e+03
14.9,7.061e+03,3.189e+01,5.903e+01,7.152e+03
16.4,9.028e+03,2.982e+01,5.999e+01,9.118e+03
17.9,1.126e+04,3.092e+01,6.148e+01,1.135e+04
19.4,1.376e+04,2.934e+01,5.740e+01,1.385e+04
20.9,1.651e+04,3.620e+01,5.920e+01,1.661e+04
22.4,1.974e+04,3.755e+01,7.118e+01,1.985e+04
23.9,2.370e+04,4.069e+01,9.666e+01,2.384e+04
25.3,2.866e+04,4.591e+01,1.192e+02,2.883e+04
26.8,3.494e+04,6.322e+01,1.414e+02,3.515e+04
28.3,4.161e+04,1.405e+02,1.454e+02,4.190e+04
29.8,4.976e+04,2.345e+02,1.395e+02,5.013e+04
31.3,6.124e+04,3.432e+02,1.456e+02,6.173e+04
32.8,7.575e+04,4.915e+02,1.589e+02,7.640e+04
34.3,9.334e+04,6.635e+02,1.527e+02,9.415e+04
35.8,1.134e+05,6.941e+02,2.511e+02,1.143e+05
37.3,1.426e+05,5.720e+02,5.689e+02,1.438e+05
38.8,1.805e+05,4.903e+02,1.021e+03,1.820e+05
40.3,2.329e+05,5.124e+02,1.759e+03,2.352e+05
41.7,3.155e+05,2.057e+03,3.195e+03,3.208e+05
43.2,4.004e+05,1.203e+04,3.932e+03,4.164e+05
44.7,5.087e+05,4.483e+04,4.497e+03,5.580e+05
46.2,6.861e+05,8.924e+04,1.551e+04,7.908e+05
47.7,1.022e+06,7.807e+04,3.352e+04,1.133e+06
49.2,1.768e+06,3.538e+04,4.903e+04,1.852e+06
50.7,3.556e+06,1.030e+04,8.018e+04,3.647e+06
52.2,7.006e+06,1.579e+04,1.635e+05,7.186e+06
53.7,8.493e+06,2.745e+04,2.248e+05,8.745e+06
55.2,6.127e+06,2.618e+04,1.732e+05,6.326e+06
56.7,3.568e+06,1.921e+04,1.002e+05,3.687e+06
58.1,2.130e+06,1.471e+04,5.060e+04,2.196e+06
59.6,1.474e+06,1.233e+04,2.717e+04,1.514e+06
61.1,1.104e+06,1.148e+04,2.034e+04,1.136e+06
62.6,8.353e+05,1.294e+04,2.010e+04,8.683e+05
64.1,6.423e+05,1.302e+04,1.769e+04,6.730e+05
65.6,5.003e+05,1.195e+04,1.448e+04,5.267e+05
67.1,3.946e+05,1.073e+04,1.199e+04,4.173e+05
68.6,3.215e+05,1.000e+04,1.080e+04,3.423e+05
70.1,2.761e+05,1.015e+04,1.118e+04,2.975e+05
71.6,2.348e+05,1.039e+04,1.143e+04,2.566e+05
73.1,2.011e+05,1.009e+04,1.120e+04,2.224e+05
74.5,1.729e+05,8.860e+03,1.053e+04,1.923e+05
76.0,1.515e+05,7.692e+03,1.039e+04,1.696e+05
77.5,1.325e+05,7.128e+03,1.062e+04,1.503e+05
79.0,1.161e+05,6.763e+03,1.056e+04,1.334e+05
80.5,1.055e+05,5.592e+03,8.593e+03,1.197e+05
82.0,9.324e+04,4.191e+03,5.758e+03,1.032e+05
83.5,8.019e+04,3.311e+03,3.626e+03,8.713e+04
85.0,7.318e+04,3.211e+03,3.032e+03,7.942e+04
86.5,6.584e+04,3.659e+03,3.523e+03,7.302e+04
88.0,5.878e+04,4.394e+03,4.468e+03,6.764e+04
89.5,6.026e+04,5.504e+03,5.401e+03,7.117e+04
90.9,7.033e+04,6.613e+03,5.941e+03,8.289e+04
92.4,9.410e+04,8.313e+03,6.566e+03,1.090e+05
93.9,1.184e+05,1.024e+04,7.289e+03,1.359e+05
95.4,1.340e+05,1.140e+04,7.740e+03,1.531e+05
96.9,1.455e+05,1.231e+04,8.207e+03,1.660e+05
98.4,1.507e+05,1.307e+04,9.273e+03,1.731e+05
99.9,1.498e+05,1.433e+04,1.170e+04,1.758e+05
101.4,1.524e+05,1.729e+04,1.678e+04,1.865e+05
102.9,1.551e+05,2.069e+04,2.247e+04,1.983e+05
104.4,1.482e+05,2.243e+04,2.423e+04,1.949e+05
105.9,1.309e+05,2.312e+04,2.333e+04,1.774e+05
107.3,1.347e+05,2.781e+04,2.821e+04,1.908e+05
108.8,1.447e+05,3.432e+04,3.606e+04,2.151e+05
110.3,1.689e+05,4.316e+04,4.588e+04,2.579e+05
111.8,1.920e+05,4.988e+04,5.145e+04,2.933e+05
113.3,2.097e+05,5.501e+04,5.433e+04,3.190e+05
114.8,2.327e+05,6.131e+04,5.859e+04,3.526e+05
116.3,2.469e+05,6.814e+04,6.306e+04,3.781e+05
117.8,2.653e+05,7.797e+04,6.841e+04,4.117e+05
119.3,3.020e+05,9.442e+04,7.664e+04,4.730e+05
120.8,3.509e+05,1.190e+05,8.654e+04,5.564e+05
122.3,4.042e+05,1.498e+05,9.701e+04,6.510e+05
123.7,4.647e+05,1.871e+05,1.086e+05,7.604e+05
125.2,5.520e+05,2.400e+05,1.239e+05,9.159e+05
126.7,6.606e+05,3.134e+05,1.430e+05,1.117e+06
128.2,7.580e+05,3.954e+05,1.662e+05,1.320e+06
129.7,8.964e+05,4.895e+05,2.048e+05,1.591e+06
131.2,1.015e+06,5.388e+05,2.565e+05,1.811e+06
132.7,7.455e+05,3.802e+05,2.028e+05,1.329e+06
134.2,1.428e+05,7.149e+04,3.806e+04,2.523e+05
135.7,4.502e+04,2.200e+04,1.023e+04,7.725e+04
137.2,5.376e+04,2.549e+04,1.289e+04,9.214e+04
138.7,6.008e+04,2.666e+04,1.584e+04,1.026e+05
140.1,6.295e+04,2.637e+04,1.887e+04,1.082e+05
141.6,6.609e+04,2.546e+04,2.170e+04,1.133e+05
143.1,7.056e+04,2.517e+04,2.435e+04,1.201e+05
144.6,8.227e+04,2.844e+04,2.934e+04,1.401e+05
146.1,9.799e+04,3.349e+04,3.641e+04,1.679e+05
147.6,1.208e+05,4.181e+04,4.726e+04,2.099e+05
149.1,1.546e+05,5.589e+04,6.447e+04,2.750e+05
150.6,1.903e+05,7.167e+04,8.359e+04,3.456e+05
152.1,2.226e+05,8.321e+04,1.020e+05,4.078e+05
153.6,2.579e+05,9.620e+04,1.226e+05,4.767e+05
155.1,2.997e+05,1.121e+05,1.480e+05,5.598e+05
156.5,3.360e+05,1.271e+05,1.748e+05,6.379e+05
158.0,3.264e+05,1.219e+05,1.736e+05,6.219e+05
159.5,2.767e+05,1.008e+05,1.471e+05,5.246e+05
161.0,2.287e+05,8.286e+04,1.207e+05,4.323e+05
162.5,1.925e+05,6.957e+04,1.023e+05,3.643e+05
164.0,1.577e+05,5.757e+04,8.410e+04,2.994e+05
165.5,1.277e+05,4.800e+04,6.804e+04,2.438e+05
167.0,1.041e+05,3.991e+04,5.457e+04,1.985e+05
168.5,8.144e+04,3.167e+04,4.115e+04,1.543e+05
170.0,6.857e+04,2.657e+04,3.424e+04,1.294e+05
171.4,5.739e+04,2.153e+04,2.798e+04,1.069e+05
172.9,4.721e+04,1.761e+04,2.260e+04,8.741e+04
174.4,4.217e+04,1.623e+04,2.051e+04,7.890e+04
175.9,3.692e+04,1.430e+04,1.785e+04,6.907e+04
177.4,3.254e+04,1.240e+04,1.568e+04,6.062e+04
178.9,2.879e+04,1.084e+04,1.392e+04,5.355e+04
180.4,2.530e+04,9.461e+03,1.249e+04,4.725e+04
181.9,2.254e+04,8.273e+03,1.114e+04,4.195e+04
183.4,1.942e+04,7.494e+03,9.975e+03,3.689e+04
184.9,1.673e+04,6.993e+03,9.176e+03,3.290e+04
186.4,1.464e+04,6.988e+03,9.019e+03,3.065e+04
187.8,1.317e+04,7.265e+03,9.283e+03,2.972e+04
189.3,1.197e+04,7.332e+03,9.413e+03,2.872e+04
190.8,1.078e+04,7.164e+03,9.196e+03,2.714e+04
192.3,9.626e+03,6.871e+03,8.827e+03,2.532e+04
193.8,8.808e+03,6.740e+03,8.683e+03,2.423e+04
195.3,7.880e+03,6.585e+03,8.568e+03,2.303e+04
196.8,6.623e+03,6.382e+03,8.145e+03,2.115e+04
198.3,5.795e+03,6.581e+03,8.293e+03,2.067e+04
199.8,5.399e+03,6.968e+03,8.724e+03,2.109e+04
