freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.001e+03,5.787e+01,3.601e+01,1.095e+03
1.5,5.828e+02,5.445e+01,6.624e+01,7.035e+02
3.1,4.470e+01,2.869e+01,6.437e+01,1.378e+02
4.6,3.587e+02,3.560e+01,6.349e+01,4.578e+02
6.1,1.108e+03,4.611e+01,5.380e+01,1.208e+03
7.7,1.733e+03,3.990e+01,5.503e+01,1.827e+03
9.2,2.598e+03,3.954e+01,6.286e+01,2.701e+03
10.7,3.435e+03,3.978e+01,6.304e+01,3.538e+03
12.3,4.556e+03,4.226e+01,6.323e+01,4.661e+03
13.8,5.955e+03,4.270e+01,6.498e+01,6.063e+03
15.3,7.605e+03,4.406e+01,6.895e+01,7.718e+03
16.9,9.562e+03,4.579e+01,6.867e+01,9.677e+03
18.4,1.200e+04,5.263e+01,7.329e+01,1.212e+04
19.9,1.506e+04,5.672e+01,8.276e+01,1.520e+04
21.5,1.898e+04,7.509e+01,9.915e+01,1.915e+04
23.0,2.346e+04,9.299e+01,1.251e+02,2.368e+04
24.5,2.798e+04,1.147e+02,1.444e+02,2.824e+04
26.1,3.321e+04,1.322e+02,1.900e+02,3.353e+04
27.6,4.082e+04,1.523e+02,2.657e+02,4.124e+04
29.1,4.952e+04,2.177e+02,3.322e+02,5.007e+04
30.7,5.950e+04,3.464e+02,3.720e+02,6.022e+04
32.2,7.159e+04,5.033e+02,4.268e+02,7.252e+04
33.7,8.757e+04,7.303e+02,4.900e+02,8.879e+04
35.2,1.066e+05,8.976e+02,5.616e+02,1.081e+05
36.8,1.313e+05,1.056e+03,7.140e+02,1.331e+05
38.3,1.629e+05,1.150e+03,1.121e+03,1.652e+05
39.8,2.015e+05,1.070e+03,2.015e+03,2.046e+05
41.4,2.599e+05,9.117e+02,3.263e+03,2.641e+05
42.9,3.307e+05,6.403e+02,4.771e+03,3.361e+05
44.4,4.103e+05,1.346e+03,7.425e+03,4.191e+05
46.0,5.492e+05,1.312e+04,1.175e+04,5.740e+05
47.5,7.688e+05,4.639e+04,1.070e+04,8.259e+05
49.0,1.040e+06,7.395e+04,5.182e+03,1.119e+06
50.6,1.345e+06,6.446e+04,7.595e+03,1.417e+06
52.1,2.000e+06,4.342e+04,2.131e+04,2.064e+06
53.6,3.216e+06,2.687e+04,4.843e+04,3.291e+06
55.2,4.427e+06,1.813e+04,7.552e+04,4.520e+06
56.7,4.381e+06,1.816e+04,7.377e+04,4.473e+06
58.2,3.286e+06,1.914e+04,4.683e+04,3.352e+06
59.8,2.220e+06,1.927e+04,2.503e+04,2.264e+06
61.3,1.447e+06,1.978e+04,1.495e+04,1.481e+06
