freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.849e+02,6.484e+01,5.374e+01,8.035e+02
1.5,4.115e+02,5.594e+01,1.246e+02,5.920e+02
3.1,4.374e+01,2.494e+01,9.592e+01,1.646e+02
4.6,3.273e+02,2.380e+01,8.883e+01,4.399e+02
6.1,1.090e+03,2.232e+01,9.100e+01,1.203e+03
7.7,1.758e+03,2.478e+01,8.890e+01,1.872e+03
9.2,2.529e+03,2.443e+01,8.711e+01,2.641e+03
10.7,3.619e+03,2.425e+01,9.856e+01,3.741e+03
12.3,5.020e+03,2.315e+01,1.058e+02,5.149e+03
13.8,6.698e+03,2.339e+01,1.000e+02,6.821e+03
15.3,8.684e+03,2.593e+01,8.990e+01,8.799e+03
16.9,1.096e+04,2.920e+01,9.368e+01,1.108e+04
18.4,1.377e+04,3.730e+01,1.086e+02,1.391e+04
19.9,1.717e+04,5.400e+01,1.260e+02,1.735e+04
21.5,2.131e+04,8.139e+01,1.335e+02,2.153e+04
23.0,2.603e+04,1.140e+02,1.333e+02,2.628e+04
24.5,3.169e+04,1.565e+02,1.457e+02,3.199e+04
26.1,3.863e+04,2.127e+02,1.918e+02,3.903e+04
27.6,4.808e+04,2.582e+02,2.712e+02,4.861e+04
29.1,5.772e+04,3.499e+02,3.292e+02,5.840e+04
30.7,6.963e+04,5.880e+02,3.383e+02,7.056e+04
32.2,8.653e+04,9.578e+02,3.605e+02,8.785e+04
33.7,1.090e+05,1.450e+03,3.572e+02,1.108e+05
35.3,1.372e+05,2.123e+03,3.309e+02,1.397e+05
36.8,1.755e+05,3.006e+03,3.752e+02,1.788e+05
38.3,2.271e+05,3.622e+03,6.509e+02,2.313e+05
39.9,2.959e+05,3.619e+03,1.221e+03,3.007e+05
41.4,4.187e+05,4.265e+03,2.114e+03,4.250e+05
42.9,6.055e+05,6.227e+03,3.501e+03,6.153e+05
44.5,8.425e+05,1.889e+04,3.710e+03,8.651e+05
46.0,1.157e+06,5.670e+04,1.564e+03,1.215e+06
47.5,1.581e+06,8.245e+04,2.828e+03,1.666e+06
49.0,1.840e+06,8.888e+04,9.692e+03,1.938e+06
50.6,1.737e+06,8.263e+04,2.363e+04,1.843e+06
52.1,1.453e+06,5.593e+04,3.404e+04,1.543e+06
53.6,1.115e+06,2.859e+04,3.369e+04,1.177e+06
55.2,8.407e+05,1.442e+04,2.839e+04,8.835e+05
56.7,6.123e+05,9.663e+03,2.127e+04,6.432e+05
58.2,4.517e+05,8.465e+03,1.567e+04,4.758e+05
59.8,3.651e+05,7.696e+03,1.227e+04,3.851e+05
61.3,2.914e+05,7.427e+03,1.021e+04,3.090e+05
62.8,2.356e+05,8.042e+03,9.975e+03,2.536e+05
64.4,2.085e+05,1.071e+04,1.020e+04,2.294e+05
65.9,1.778e+05,1.125e+04,8.847e+03,1.979e+05
67.4,1.413e+05,1.023e+04,7.543e+03,1.591e+05
69.0,1.104e+05,8.917e+03,6.896e+03,1.262e+05
70.5,8.457e+04,7.698e+03,6.482e+03,9.875e+04
72.0,6.818e+04,6.995e+03,6.404e+03,8.158e+04
73.6,7.403e+04,8.720e+03,8.164e+03,9.092e+04
75.1,9.832e+04,1.303e+04,1.147e+04,1.228e+05
76.6,1.205e+05,1.811e+04,1.474e+04,1.533e+05
78.2,1.564e+05,2.589e+04,2.150e+04,2.038e+05
79.7,1.830e+05,3.269e+04,2.596e+04,2.416e+05
81.2,1.773e+05,3.384e+04,2.431e+04,2.355e+05
82.8,1.734e+05,3.429e+04,2.363e+04,2.314e+05
84.3,1.914e+05,3.690e+04,2.536e+04,2.537e+05
85.8,2.041e+05,3.849e+04,2.523e+04,2.678e+05
87.4,2.137e+05,3.883e+04,2.346e+04,2.760e+05
88.9,2.219e+05,3.890e+04,2.174e+04,2.826e+05
90.4,2.292e+05,4.054e+04,2.173e+04,2.915e+05
92.0,2.356e+05,4.409e+04,2.260e+04,3.023e+05
93.5,2.406e+05,5.030e+04,2.427e+04,3.152e+05
95.0,2.478e+05,5.878e+04,2.654e+04,3.331e+05
96.6,2.571e+05,6.754e+04,2.858e+04,3.532e+05
98.1,2.671e+05,7.627e+04,3.033e+04,3.737e+05
99.6,2.773e+05,8.471e+04,3.127e+04,3.933e+05
101.2,2.893e+05,9.526e+04,3.350e+04,4.181e+05
102.7,2.983e+05,1.098e+05,3.842e+04,4.465e+05
104.2,2.886e+05,1.225e+05,4.240e+04,4.534e+05
105.8,2.726e+05,1.321e+05,4.425e+04,4.490e+05
107.3,2.794e+05,1.416e+05,4.524e+04,4.662e+05
108.8,2.805e+05,1.489e+05,4.858e+04,4.780e+05
110.4,2.767e+05,1.569e+05,5.701e+04,4.906e+05
111.9,3.050e+05,1.810e+05,6.873e+04,5.547e+05
113.4,3.265e+05,2.023e+05,7.670e+04,6.055e+05
115.0,3.339e+05,2.212e+05,8.633e+04,6.415e+05
116.5,3.707e+05,2.637e+05,1.053e+05,7.397e+05
118.0,4.192e+05,2.851e+05,1.283e+05,8.327e+05
119.6,4.479e+05,2.707e+05,1.569e+05,8.755e+05
121.1,4.705e+05,2.518e+05,1.883e+05,9.107e+05
122.6,5.026e+05,2.461e+05,2.256e+05,9.743e+05
124.2,5.692e+05,2.549e+05,2.662e+05,1.090e+06
125.7,6.735e+05,2.853e+05,3.137e+05,1.273e+06
127.2,7.841e+05,3.348e+05,3.711e+05,1.490e+06
128.8,8.700e+05,3.833e+05,4.212e+05,1.674e+06
130.3,9.436e+05,4.334e+05,4.674e+05,1.844e+06
