freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.115e+02,5.509e+01,5.417e+01,1.021e+03
1.5,5.339e+02,5.841e+01,1.004e+02,6.927e+02
3.1,5.297e+01,3.311e+01,9.471e+01,1.808e+02
4.6,3.506e+02,3.404e+01,8.991e+01,4.745e+02
6.1,1.129e+03,3.642e+01,7.994e+01,1.246e+03
7.7,1.809e+03,3.813e+01,8.073e+01,1.928e+03
9.2,2.687e+03,3.480e+01,7.891e+01,2.801e+03
10.7,3.555e+03,3.396e+01,7.700e+01,3.666e+03
12.3,4.741e+03,3.089e+01,8.194e+01,4.854e+03
13.8,6.261e+03,3.412e+01,8.469e+01,6.380e+03
15.3,8.082e+03,3.794e+01,8.383e+01,8.204e+03
16.9,1.036e+04,3.819e+01,8.951e+01,1.048e+04
18.4,1.334e+04,3.845e+01,9.601e+01,1.348e+04
19.9,1.725e+04,4.508e+01,1.018e+02,1.739e+04
21.5,2.219e+04,5.889e+01,1.184e+02,2.236e+04
23.0,2.804e+04,6.866e+01,1.336e+02,2.824e+04
24.5,3.416e+04,8.634e+01,1.680e+02,3.442e+04
26.1,4.168e+04,9.559e+01,2.273e+02,4.200e+04
27.6,5.179e+04,1.122e+02,3.057e+02,5.221e+04
29.1,6.276e+04,1.956e+02,3.503e+02,6.330e+04
30.7,7.577e+04,3.365e+02,3.842e+02,7.649e+04
32.2,9.396e+04,5.223e+02,4.379e+02,9.492e+04
33.7,1.175e+05,7.476e+02,4.731e+02,1.187e+05
35.3,1.474e+05,1.003e+03,5.251e+02,1.490e+05
36.8,1.871e+05,1.262e+03,7.009e+02,1.891e+05
38.3,2.391e+05,1.193e+03,1.515e+03,2.419e+05
39.9,3.109e+05,7.991e+02,3.235e+03,3.150e+05
41.4,4.308e+05,7.756e+02,5.949e+03,4.375e+05
42.9,5.842e+05,3.962e+03,9.928e+03,5.981e+05
44.5,7.593e+05,2.046e+04,1.406e+04,7.938e+05
46.0,1.050e+06,6.458e+04,1.315e+04,1.127e+06
47.5,1.460e+06,1.027e+05,7.055e+03,1.569e+06
49.1,1.948e+06,9.577e+04,4.589e+03,2.048e+06
50.6,2.778e+06,7.936e+04,1.054e+04,2.868e+06
52.1,3.651e+06,5.608e+04,2.380e+04,3.731e+06
53.7,3.644e+06,3.202e+04,3.064e+04,3.706e+06
55.2,2.983e+06,2.229e+04,3.096e+04,3.036e+06
56.7,2.192e+06,1.914e+04,2.696e+04,2.238e+06
58.3,1.481e+06,1.655e+04,2.082e+04,1.518e+06
59.8,1.067e+06,1.477e+04,1.586e+04,1.097e+06
61.3,8.017e+05,1.409e+04,1.257e+04,8.283e+05
62.9,6.388e+05,1.433e+04,1.196e+04,6.651e+05
64.4,5.387e+05,1.637e+04,1.255e+04,5.676e+05
65.9,4.337e+05,1.623e+04,1.235e+04,4.623e+05
67.5,3.564e+05,1.560e+04,1.261e+04,3.846e+05
69.0,3.143e+05,1.576e+04,1.243e+04,3.425e+05
70.5,2.753e+05,1.569e+04,1.178e+04,3.028e+05
72.1,2.378e+05,1.564e+04,1.161e+04,2.650e+05
73.6,2.096e+05,1.704e+04,1.259e+04,2.392e+05
75.1,1.863e+05,1.921e+04,1.419e+04,2.197e+05
76.7,1.663e+05,2.022e+04,1.464e+04,2.011e+05
78.2,1.511e+05,2.058e+04,1.378e+04,1.855e+05
79.7,1.391e+05,2.051e+04,1.137e+04,1.710e+05
81.3,1.214e+05,2.015e+04,9.445e+03,1.510e+05
82.8,9.444e+04,1.959e+04,9.360e+03,1.234e+05
84.3,7.895e+04,2.107e+04,1.147e+04,1.115e+05
85.9,9.531e+04,2.388e+04,1.456e+04,1.337e+05
87.4,1.374e+05,2.379e+04,1.585e+04,1.770e+05
88.9,1.816e+05,2.182e+04,1.517e+04,2.186e+05
90.5,2.148e+05,2.174e+04,1.466e+04,2.512e+05
92.0,2.354e+05,2.450e+04,1.565e+04,2.756e+05
93.5,2.457e+05,2.996e+04,1.761e+04,2.933e+05
95.1,2.512e+05,3.451e+04,1.802e+04,3.037e+05
96.6,2.684e+05,3.931e+04,1.844e+04,3.262e+05
98.1,2.873e+05,4.534e+04,2.022e+04,3.529e+05
99.7,2.987e+05,5.233e+04,2.272e+04,3.738e+05
101.2,3.090e+05,6.055e+04,2.661e+04,3.962e+05
102.7,3.237e+05,7.301e+04,3.541e+04,4.322e+05
104.3,3.124e+05,8.149e+04,4.144e+04,4.354e+05
105.8,2.912e+05,8.511e+04,4.172e+04,4.181e+05
107.3,3.185e+05,9.954e+04,4.964e+04,4.677e+05
108.9,3.527e+05,1.185e+05,6.018e+04,5.314e+05
110.4,3.802e+05,1.396e+05,7.106e+04,5.909e+05
111.9,3.921e+05,1.505e+05,7.800e+04,6.206e+05
113.5,4.315e+05,1.627e+05,8.454e+04,6.787e+05
115.0,4.883e+05,1.846e+05,9.649e+04,7.694e+05
116.5,5.327e+05,2.021e+05,1.120e+05,8.467e+05
118.1,5.806e+05,2.221e+05,1.300e+05,9.328e+05
119.6,6.327e+05,2.464e+05,1.498e+05,1.029e+06
121.1,6.815e+05,2.716e+05,1.686e+05,1.122e+06
122.7,7.338e+05,3.026e+05,1.873e+05,1.224e+06
124.2,7.889e+05,3.471e+05,2.165e+05,1.353e+06
125.7,9.357e+05,4.255e+05,2.611e+05,1.622e+06
127.3,1.056e+06,4.699e+05,2.910e+05,1.817e+06
128.8,1.186e+06,5.095e+05,3.304e+05,2.026e+06
130.3,1.267e+06,5.302e+05,3.642e+05,2.161e+06
131.9,1.181e+06,4.918e+05,3.497e+05,2.022e+06
133.4,4.944e+05,2.109e+05,1.430e+05,8.484e+05
134.9,1.049e+05,4.878e+04,2.330e+04,1.769e+05
136.5,9.813e+04,4.611e+04,2.163e+04,1.659e+05
138.0,1.106e+05,5.215e+04,2.575e+04,1.885e+05
139.5,1.245e+05,5.886e+04,2.990e+04,2.133e+05
141.1,1.436e+05,6.765e+04,3.557e+04,2.468e+05
142.6,1.624e+05,7.639e+04,4.105e+04,2.799e+05
144.1,1.826e+05,8.540e+04,4.750e+04,3.155e+05
145.7,1.993e+05,9.221e+04,5.298e+04,3.445e+05
147.2,2.030e+05,9.168e+04,5.750e+04,3.522e+05
148.7,1.946e+05,8.475e+04,6.282e+04,3.422e+05
150.3,2.018e+05,8.135e+04,7.234e+04,3.555e+05
151.8,2.024e+05,7.204e+04,7.843e+04,3.529e+05
153.3,2.055e+05,6.489e+04,8.803e+04,3.584e+05
154.9,2.112e+05,6.191e+04,9.814e+04,3.713e+05
156.4,2.210e+05,6.140e+04,1.050e+05,3.874e+05
157.9,2.418e+05,6.437e+04,1.105e+05,4.166e+05
